zcta,demand_supply_gap_2019,demand_supply_gap_2021,demand_supply_gap_2022,demand_supply_gap_2023,pct_hh_income_100k_plus_2019,pct_hh_income_100k_plus_2021,pct_hh_income_100k_plus_2022,pct_hh_income_100k_plus_2023,pct_pop_25_44_2019,pct_pop_25_44_2021,pct_pop_25_44_2022,pct_pop_25_44_2023,total_population_2019,total_population_2021,total_population_2022,total_population_2023,units_per_target_hh_2019,units_per_target_hh_2021,units_per_target_hh_2022,units_per_target_hh_2023,pct_pop_25_44_change_19_23,pct_pop_25_44_pct_change_19_23,pct_hh_income_100k_plus_change_19_23,pct_hh_income_100k_plus_pct_change_19_23,total_population_change_19_23,total_population_pct_change_19_23,demand_supply_gap_change_19_23,demand_supply_gap_pct_change_19_23,units_per_target_hh_change_19_23,units_per_target_hh_pct_change_19_23,score_density,score_growth,score_affordability,score_penetration,opportunity_score,investment_tier,rationale
99149,-88.0,-57.0,-46.0,-33.0,11.5,9.72,27.69,23.26,18.73,18.27,18.56,15.69,299.0,197.0,194.0,102.0,11.0,12.857142857142858,4.388888888888889,5.6,-3.04,-16.23,11.76,102.26,-197.0,-65.89,55.0,-62.5,-5.4,-49.09090909090909,23.26,55.88,50.0,75.24,45.9,MONITOR,ZIP 99149: buyer-pool density and growth insufficient for near-term development investment.
92225,-1547.0,-1503.0,-1481.0,-1472.0,30.55,30.26,31.0,33.67,33.05,35.54,33.35,35.42,22460.0,21272.0,21189.0,21101.0,5.02970297029703,4.995406824146982,4.688701923076923,4.216873985938345,2.37,7.17,3.12,10.21,-1359.0,-6.05,75.0,-4.85,-0.8128289843586849,-16.160576263824247,33.67,51.56,50.0,57.82,45.85,MONITOR,ZIP 92225: buyer-pool density and growth insufficient for near-term development investment.
95918,-357.0,-270.0,-337.0,-427.0,48.76,46.95,50.05,43.95,14.79,12.14,16.88,21.01,2915.0,1598.0,1807.0,1842.0,2.0937996820349762,2.1948051948051948,2.1666666666666665,2.444717444717445,6.22,42.06,-4.81,-9.86,-1073.0,-36.81,-70.0,19.61,0.35091776268246866,16.75985366190378,43.95,47.6,50.0,40.4,45.84,MONITOR,ZIP 95918: buyer-pool density and growth insufficient for near-term development investment.
94104,47.0,17.0,19.0,10.0,35.0,22.65,30.47,34.6,23.31,17.06,20.29,27.82,429.0,504.0,557.0,478.0,3.909090909090909,6.188679245283019,3.6470588235294117,3.230769230769231,4.51,19.35,-0.4,-1.14,49.0,11.42,-37.0,-78.72,-0.6783216783216783,-17.352415026833633,34.6,49.8,50.0,58.45,45.83,MONITOR,ZIP 94104: buyer-pool density and growth insufficient for near-term development investment.
97862,-1720.0,-1412.0,-1119.0,-1025.0,29.08,33.17,37.32,33.94,20.54,26.18,24.91,25.43,11949.0,12559.0,12460.0,12538.0,3.8038430744595675,3.475795297372061,3.089307411907655,3.351437699680511,4.89,23.81,4.86,16.71,589.0,4.93,695.0,-40.41,-0.4524053747790564,-11.89337640705202,33.94,52.43,50.0,55.56,45.82,MONITOR,ZIP 97862: buyer-pool density and growth insufficient for near-term development investment.
96731,-76.0,-86.0,-99.0,-129.0,58.53,55.35,49.18,47.2,23.58,24.85,23.6,24.16,2960.0,2893.0,2742.0,2827.0,2.8315334773218144,2.8543478260869564,3.36340206185567,3.4564643799472297,0.58,2.46,-11.33,-19.36,-133.0,-4.49,-53.0,69.74,0.6249309026254153,22.07040487532931,47.2,44.34,50.0,37.59,45.74,MONITOR,ZIP 96731: buyer-pool density and growth insufficient for near-term development investment.
98813,-309.0,-256.0,-245.0,-256.0,17.5,24.54,25.06,26.85,27.47,25.06,28.17,32.35,2836.0,2642.0,3191.0,3233.0,6.293706293706293,4.484848484848484,4.380952380952381,4.088888888888889,4.88,17.76,9.35,53.43,397.0,14.0,53.0,-17.15,-2.2048174048174047,-35.0320987654321,26.85,54.68,50.0,67.8,45.74,MONITOR,ZIP 98813: buyer-pool density and growth insufficient for near-term development investment.
99921,-263.0,-273.0,-230.0,-251.0,34.4,36.86,38.71,36.35,24.44,22.7,24.55,23.22,1976.0,1868.0,1727.0,1667.0,4.010714285714286,3.67986798679868,3.576547231270358,3.8411552346570397,-1.22,-4.99,1.95,5.67,-309.0,-15.64,12.0,-4.56,-0.16955905105724645,-4.2276522080168295,36.35,50.98,50.0,51.51,45.69,MONITOR,ZIP 99921: buyer-pool density and growth insufficient for near-term development investment.
93243,-353.0,-235.0,-189.0,-175.0,18.79,10.85,18.25,30.7,36.36,28.26,27.53,24.22,1532.0,920.0,977.0,900.0,6.2204724409448815,13.42,8.5,5.392857142857143,-12.14,-33.39,11.91,63.38,-632.0,-41.25,178.0,-50.42,-0.8276152980877383,-13.304701627486427,30.7,55.96,50.0,56.31,45.68,MONITOR,ZIP 93243: buyer-pool density and growth insufficient for near-term development investment.
92283,-159.0,-208.0,-207.0,-206.0,14.65,12.81,21.14,22.58,18.05,18.67,21.0,18.66,1684.0,1918.0,1967.0,1795.0,17.973333333333333,16.41176470588235,8.992063492063492,8.097744360902256,0.61,3.38,7.93,54.13,111.0,6.59,-47.0,29.56,-9.875588972431077,-54.94578434216104,22.58,53.97,50.0,78.33,45.64,MONITOR,ZIP 92283: buyer-pool density and growth insufficient for near-term development investment.
