zcta,year,NAME,total_population,hh_total,hh_income_100_124k,hh_income_125_149k,hh_income_150_174k,hh_income_175_199k,hh_income_200k_plus,male_25_29,male_30_34,male_35_39,male_40_44,female_25_29,female_30_34,female_35_39,female_40_44,median_home_value,median_gross_rent,total_households,total_housing_units,owner_occupied_units,renter_occupied_units,pop_25_44,pct_pop_25_44,hh_income_100k_plus,pct_hh_income_100k_plus,home_value_to_income_ratio,pct_owner_occupied,demand_supply_gap,units_per_target_hh
97342,2023,ZCTA5 97342,144,61,0,8,4,2,8,14,0,0,3,0,3,0,0,307100,733,61,391,53,8,20,13.89,22,36.07,3.071,13.55,-31,17.772727272727273
97343,2023,ZCTA5 97343,550,209,0,48,6,22,44,0,0,0,31,0,0,17,17,374100,1109,209,209,138,71,65,11.82,120,57.42,3.741,66.03,-18,1.7416666666666667
97344,2023,ZCTA5 97344,1464,503,77,44,26,43,5,38,89,46,41,13,55,12,39,295500,1073,503,518,385,118,333,22.75,195,38.77,2.955,74.32,-190,2.6564102564102563
97345,2023,ZCTA5 97345,321,158,24,5,7,19,5,5,0,11,24,0,6,13,11,569000,,158,215,134,24,70,21.81,60,37.97,5.69,62.33,-74,3.5833333333333335
97346,2023,ZCTA5 97346,970,399,48,20,97,33,11,6,61,22,22,1,54,7,55,378900,1278,399,444,362,37,228,23.51,209,52.38,3.789,81.53,-153,2.124401913875598
97347,2023,ZCTA5 97347,1483,594,31,14,27,21,16,36,17,20,44,75,86,65,21,249500,754,594,752,227,367,364,24.54,109,18.35,2.495,30.19,-118,6.89908256880734
97348,2023,ZCTA5 97348,2103,640,143,123,78,45,87,72,42,68,49,71,45,83,59,321700,1694,640,677,502,138,489,23.25,476,74.38,3.217,74.15,-26,1.4222689075630253
97350,2023,ZCTA5 97350,188,88,9,21,2,0,0,0,0,15,0,0,6,5,9,215000,684,88,129,63,25,35,18.62,32,36.36,2.15,48.84,-31,4.03125
97351,2023,ZCTA5 97351,11384,3618,675,552,261,339,279,363,399,546,160,202,344,563,313,357700,1592,3618,3697,2259,1359,2890,25.39,2106,58.21,3.577,61.1,-153,1.755460588793922
97352,2023,ZCTA5 97352,6635,2033,295,339,175,314,172,130,185,252,337,118,259,309,161,404300,1121,2033,2144,1664,369,1751,26.39,1295,63.7,4.043,77.61,-369,1.6555984555984555
97355,2023,ZCTA5 97355,33236,13048,2099,1150,889,1031,461,1152,1136,875,793,998,1202,845,902,332700,1267,13048,13623,8946,4102,7903,23.78,5630,43.15,3.327,65.67,-3316,2.419715808170515
97357,2023,ZCTA5 97357,206,107,14,12,0,0,0,0,0,15,0,0,0,0,0,445300,,107,107,107,0,15,7.28,26,24.3,4.453,100.0,-81,4.115384615384615
97358,2023,ZCTA5 97358,2502,1029,102,184,121,85,131,51,77,28,39,25,79,20,82,451700,979,1029,1100,932,97,401,16.03,623,60.54,4.517,84.73,-309,1.7656500802568218
97360,2023,ZCTA5 97360,2362,799,101,157,56,23,6,32,149,92,49,73,114,46,99,281100,1168,799,964,591,208,654,27.69,343,42.93,2.811,61.31,-248,2.8104956268221573
97361,2023,ZCTA5 97361,13953,4402,672,398,485,306,302,631,367,285,352,656,352,215,488,407100,1128,4402,4858,2387,2015,3346,23.98,2163,49.14,4.071,49.14,-224,2.2459546925566345
97362,2023,ZCTA5 97362,3952,1358,171,147,91,143,76,226,35,196,115,106,91,209,76,420400,1199,1358,1377,733,625,1054,26.67,628,46.24,4.204,53.23,-105,2.1926751592356686
97364,2023,ZCTA5 97364,637,197,35,42,1,1,7,4,3,28,19,1,6,38,5,482100,958,197,291,115,82,104,16.33,86,43.65,4.821,39.52,-29,3.383720930232558
97365,2023,ZCTA5 97365,10905,5033,548,425,388,286,296,191,296,277,433,245,215,251,417,418500,1155,5033,6026,3031,2002,2325,21.32,1943,38.61,4.185,50.3,-1088,3.1013896037056097
97366,2023,ZCTA5 97366,2169,857,178,52,52,100,75,18,9,70,29,38,28,56,91,474400,,857,1174,751,106,339,15.63,457,53.33,4.744,63.97,-294,2.5689277899343543
97367,2023,ZCTA5 97367,11280,5109,417,291,418,406,322,387,220,367,238,238,329,453,305,388800,1333,5109,8138,3325,1784,2537,22.49,1854,36.29,3.888,40.86,-1471,4.389428263214671
97368,2023,ZCTA5 97368,2768,1114,100,135,28,0,118,93,64,175,71,53,102,61,52,302200,1123,1114,1668,979,135,671,24.24,381,34.2,3.022,58.69,-598,4.377952755905512
97369,2023,ZCTA5 97369,327,134,10,0,0,0,27,0,0,7,67,0,0,0,0,586000,,134,449,113,21,74,22.63,37,27.61,5.86,25.17,-76,12.135135135135135
97370,2023,ZCTA5 97370,9443,4103,630,515,290,369,564,357,262,139,463,517,175,346,300,424600,1353,4103,4302,3134,969,2559,27.1,2368,57.71,4.246,72.85,-766,1.816722972972973
97371,2023,ZCTA5 97371,445,286,19,14,6,6,20,30,0,4,14,1,5,2,2,323300,963,286,286,139,147,58,13.03,65,22.73,3.233,48.6,-74,4.4
97373,2023,ZCTA5 97373,135,0,0,0,0,0,0,33,8,12,17,0,0,0,0,,,0,0,0,0,70,51.85,0,,,,0,
97374,2023,ZCTA5 97374,5135,1920,297,181,359,268,142,97,156,116,171,257,110,199,126,534500,992,1920,2005,1593,327,1232,23.99,1247,64.95,5.345,79.45,-346,1.6078588612670408
97375,2023,ZCTA5 97375,1204,420,107,41,19,56,52,18,38,36,25,82,46,14,32,485900,1301,420,436,379,41,291,24.17,275,65.48,4.859,86.93,-104,1.5854545454545454
97376,2023,ZCTA5 97376,1226,611,79,31,27,21,8,17,30,29,117,24,0,16,83,411900,948,611,846,453,158,316,25.77,166,27.17,4.119,53.55,-287,5.096385542168675
97377,2023,ZCTA5 97377,677,317,32,73,134,11,26,34,12,25,44,0,10,23,28,610500,,317,385,243,74,176,26.0,276,87.07,6.105,63.12,33,1.394927536231884
